fp_0,fp_1,fp_2,fp_3,fp_4,fp_5,fp_6,fp_7,fp_8,fp_9,fp_10,fp_11,fp_12,fp_13,fp_14,fp_15,fp_16,fp_17,fp_18,fp_19,fp_20,fp_21,fp_22,fp_23,fp_24,fp_25,fp_26,fp_27,fp_28,fp_29,fp_30,fp_31,color_name
0.24694605,0.96902883,0.00078147487,0.00026049162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026049162,0.0048268675,0.030817693,0.062006682,0.23280354,0.756333,0.6059575,0.04195662,0.0003712975,0.0,0.0007358603,0.031641994,0.6284247,0.73107725,0.25607938,0.062916055,0.008462394,Gold
0.857696,0.5013359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042089773,0.020109557,0.11223939,0.036492918,0.14462009,0.23787977,0.6737674,0.5805077,0.34533113,0.09123229,0.051360402,0.009166388,0.9089197,0.38981268,0.13170652,0.062234946,0.017367892,0.015438126,0.008201505,Brown
0.9957229,0.07707154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050949976,0.0012631951,0.020632187,0.0336852,0.17347878,0.33390456,0.8198136,0.42948633,0.017263666,0.0,0.0,0.20524138,0.94855726,0.22850206,0.07183448,0.026681378,0.0054731034,Red
0.008719456,0.25092658,0.435004,0.45147407,0.401095,0.3972197,0.47375715,0.028096026,0.0,0.0009688285,0.001937657,0.0009688285,0.0,0.0,0.0009688285,0.0,0.059457988,0.12945282,0.57501143,0.7059695,0.38534796,0.04666323,0.0022578982,0.0,0.0,0.08336376,0.9028936,0.37128934,0.19494294,0.03783432,0.0121839335,0.019879049,Green
0.9780872,0.19626011,0.0017302529,0.0,0.0,0.0,0.0,0.0,0.00024717898,0.0,0.0,0.0,0.0,0.0,0.0,0.06945729,0.006592567,0.012797336,0.030248249,0.29550213,0.40951476,0.75155264,0.42231208,0.02598247,0.0,0.0,0.17892946,0.9289104,0.28235322,0.1529149,0.04282886,0.013007283,Red
0.29053316,0.9568646,0.0002429207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072876207,0.0,0.012053679,0.038504805,0.28660968,0.7667479,0.57121044,0.045201294,0.0003348244,0.0,0.0,0.03638941,0.6473309,0.72111124,0.23068883,0.08012347,0.0,Gold
0.7582885,0.64318377,0.0037130557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037130557,0.008663797,0.023928583,0.103140436,0.014048091,0.09665087,0.21915023,0.70409036,0.5557425,0.34726882,0.12418513,0.0427062,0.0063356822,0.8838277,0.40231583,0.1950485,0.11721012,0.070597604,0.01086117,0.008145877,Brown
0.0067496123,0.52796966,0.49797142,0.30748233,0.31723177,0.38247803,0.36297914,0.0014999139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03522723,0.10237914,0.4904291,0.8091255,0.3043853,0.020365743,0.0027521276,0.0,0.0,0.08313324,0.83830863,0.40520188,0.27323514,0.22498296,0.026742162,0.012208378,Green
0.9780872,0.19626011,0.0017302529,0.0,0.0,0.0,0.0,0.0,0.00024717898,0.0,0.0,0.0,0.0,0.0,0.0,0.06945729,0.006592567,0.012797336,0.030248249,0.29550213,0.40951476,0.75155264,0.42231208,0.02598247,0.0,0.0,0.17892946,0.9289104,0.28235322,0.1529149,0.04282886,0.013007283,Red
0.29616025,0.9551345,0.0025999702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00070908276,0.00033330993,0.031997755,0.061995648,0.29931232,0.7619465,0.56829345,0.04499684,0.00033330993,0.0,0.00064923696,0.039278835,0.65410626,0.7128622,0.23697148,0.079206906,0.0,Gold
