fp_0,fp_1,fp_2,fp_3,fp_4,fp_5,fp_6,fp_7,fp_8,fp_9,fp_10,fp_11,fp_12,fp_13,fp_14,fp_15,fp_16,fp_17,fp_18,fp_19,fp_20,fp_21,fp_22,fp_23,fp_24,fp_25,fp_26,fp_27,fp_28,fp_29,fp_30,fp_31,color_name
0.06430341,0.20074207,0.035037115,0.0047403155,0.0026793089,0.024732081,0.0053586178,0.0014427048,0.0098928325,0.0014427048,0.88561463,0.40663666,0.050288565,0.030090699,0.01813686,0.011747739,0.120758966,0.32186258,0.21441372,0.14834718,0.8264366,0.35646886,0.009196074,0.060742486,0.13558687,0.10127315,0.14869282,0.1906318,0.8783361,0.22470725,0.29738563,0.050040852,Violet
0.016448887,0.07173542,0.9972138,0.0052545057,0.0021703392,0.0052545057,0.0025130243,0.0033126231,0.0028557095,0.00022845676,0.0026272528,0.0010280554,0.005368734,0.0037695365,0.0012565121,0.0031983946,0.016623156,0.022369431,0.3152243,0.15104496,0.1750562,0.84654963,0.31070936,0.18223904,0.06418779,0.019896483,0.048270598,0.07145433,0.12110903,0.23927684,0.93530774,0.20329016,Yellow
0.97580254,0.16776444,0.030237673,0.0025501652,0.003825248,0.0071040317,0.0023680106,0.000546464,0.0040074023,0.0018215466,0.0051003303,0.0020037012,0.0029144746,0.0061932583,0.0034609386,0.13625169,0.05390874,0.109624475,0.3469434,0.14757141,0.12197229,0.20840697,0.68394834,0.5628795,0.10785905,0.09748799,0.1324533,0.14875068,0.58166844,0.663748,0.39350775,0.073782705,Red
0.024567626,0.99636763,0.07984479,0.008774152,0.004387076,0.0075207017,0.0031336257,0.0017548305,0.0018801754,0.0012534503,0.0056405263,0.0021308656,0.004763111,0.0060165618,0.0010027603,0.0023815555,0.12138374,0.34673294,0.48009175,0.25637552,0.48145255,0.54758763,0.16220787,0.10423761,0.104672804,0.18104824,0.17857565,0.48352793,0.45330742,0.38792127,0.5472657,0.18736707,Gold
0.96848524,0.22077931,0.0,0.0,0.0,0.0029437242,0.0029437242,0.008831172,0.0029437242,0.0,0.0,0.0,0.0029437242,0.0,0.0,0.114805244,0.0,0.0043355497,0.021677747,0.26880407,0.42921942,0.74571455,0.42921942,0.052026596,0.0,0.022375911,0.18273662,0.9099538,0.32072142,0.17900729,0.055939782,0.0074586375,Brown
0.4223722,0.9058772,0.01945135,0.0055575287,0.0027787643,0.0055575287,0.0027787643,0.0027787643,0.008336293,0.0,0.016672585,0.0027787643,0.0,0.008336293,0.008336293,0.0055575287,0.01089376,0.025418775,0.068993814,0.29050028,0.76982576,0.5555818,0.054468803,0.07625632,0.14611353,0.0,0.04495801,0.66313064,0.67437017,0.25850856,0.12363453,0.0,Gold
0.70958346,0.6909102,0.032678187,0.009336624,0.004668312,0.004668312,0.009336624,0.0,0.0,0.0,0.0,0.0,0.014004936,0.0,0.042014807,0.12604442,0.01831995,0.042746548,0.26869258,0.61066496,0.55570513,0.470212,0.1465596,0.0366399,0.04539091,0.86747074,0.40347475,0.23704141,0.14121616,0.08069495,0.0,0.0,Brown
0.05204421,0.5724863,0.43370175,0.34696138,0.2688951,0.3209393,0.4250277,0.060718246,0.03469614,0.0,0.008674035,0.0,0.0,0.0,0.008674035,0.008674035,0.019994225,0.093306385,0.45986718,0.7064626,0.51984984,0.08664164,0.019994225,0.046653192,0.07970124,0.086343005,0.80365413,0.43171504,0.21917841,0.32544672,0.0,0.0,Green
0.051327545,0.22954819,0.9718966,0.0,0.0,0.0,0.0033267853,0.0009505101,0.00047525504,0.0,0.0,0.0019010202,0.008554591,0.00047525504,0.0009505101,0.0,0.09728515,0.051074706,0.1613312,0.15889908,0.23429507,0.2691556,0.37616926,0.8171953,0.06421235,0.013802655,0.06541258,0.15002887,0.10802078,0.09541836,0.14282748,0.9631853,Yellow
0.9571245,0.28883252,0.007823906,0.0,0.0,0.0,0.0052159373,0.0,0.0,0.0,0.0,0.0,0.012387851,0.0,0.0013039843,0.015647812,0.10361498,0.04869904,0.07460278,0.13988023,0.21137457,0.38752002,0.2393506,0.84238976,0.32176745,0.2042968,0.2783544,0.4826512,0.5081883,0.51201886,0.090656705,0.12513179,Brown
0.48902166,0.8716241,0.021114925,0.0,0.0,0.014358149,0.00844597,0.0,0.000844597,0.0,0.0101351645,0.006756776,0.011824358,0.0,0.006756776,0.00844597,0.22517219,0.21493709,0.4942091,0.33483398,0.30997732,0.15060218,0.14036709,0.6389627,0.7250933,0.3051603,0.48609608,0.2646523,0.17958549,0.10937162,0.11882348,0.12827535,Black
0.08674258,0.98762625,0.13011387,0.0030979493,0.0,0.0,0.0024783595,0.0,0.0,0.0,0.0,0.010533028,0.0037175394,0.0,0.0,0.0,0.23070203,0.41797778,0.5048303,0.38812223,0.42069194,0.22391668,0.15606314,0.3392677,0.16163467,0.11576537,0.18675357,0.242452,0.16491105,0.17474018,0.24682051,0.8649639,Gold
0.947043,0.2165726,0.02315556,0.014399257,0.004670029,0.0075887972,0.004670029,0.0015566763,0.0052537825,0.0029187682,0.0062267054,0.0007783382,0.0044754446,0.009340058,0.0038916909,0.23486355,0.025307039,0.17714927,0.072787866,0.13834514,0.1465398,0.1450937,0.21185607,0.92527354,0.17110454,0.11759861,0.12332117,0.09127483,0.25207877,0.8194706,0.23262206,0.37969184,Red
0.9344435,0.25740984,0.015612137,0.0049501895,0.0011423514,0.0032366624,0.001903919,0.0007615676,0.0009519595,0.0009519595,0.004188622,0.0009519595,0.006282933,0.011804298,0.0055213654,0.24503438,0.020219602,0.081841245,0.11915123,0.18486494,0.1562205,0.15838689,0.2599663,0.9096414,0.13822247,0.087103,0.10338127,0.11908837,0.1813456,0.5771645,0.66883683,0.3675461,Red
0.96400124,0.2243964,0.034181926,0.0021253012,0.0021253012,0.013106024,0.0019481928,0.0033650603,0.0054903617,0.0005313253,0.005136145,0.001239759,0.0019481928,0.01133494,0.001239759,0.13708194,0.028998476,0.062346723,0.18414032,0.21120557,0.13580953,0.1280766,0.2740356,0.8982278,0.06742156,0.15423045,0.13310695,0.12297925,0.3194567,0.47224033,0.716752,0.3162737,Red
0.015386089,0.9975315,0.066673055,0.008405363,0.00413145,0.0049862326,0.0024218843,0.0018520292,0.002706812,0.0018520292,0.0048437687,0.0011397103,0.0025643483,0.006553334,0.002136957,0.006125943,0.03463112,0.3231207,0.2640623,0.46968457,0.59027505,0.44958615,0.1252286,0.19449085,0.1722108,0.1582915,0.18548268,0.33600527,0.30428222,0.37484983,0.3962143,0.63866895,Gold
0.16164033,0.9825553,0.09080918,0.0027242755,0.0,0.0009080918,0.0036323671,0.0009080918,0.0,0.0,0.0,0.0,0.013621377,0.0,0.0,0.0018161836,0.338068,0.5440782,0.6074659,0.34158954,0.23594329,0.14790475,0.08979931,0.13557935,0.4523022,0.2684395,0.40817514,0.58836055,0.28682578,0.106640354,0.11583349,0.3217597,Black
0.47806218,0.59113085,0.62782854,0.052567005,0.019836605,0.0,0.004959151,0.0009918303,0.11505231,0.0009918303,0.0,0.0019836605,0.015869284,0.10513401,0.004959151,0.009918302,0.9586574,0.24151647,0.116313145,0.051118515,0.06445378,0.030374771,0.028152227,0.025188835,0.113365024,0.02034757,0.04069514,0.09883105,0.075576685,0.074123286,0.08575047,0.9781367,White
